Provinsi,Jenis Faskes,Nama Faskes,Alamat Faskes
DKI JAKARTA,"Puskesmas","Kel. Kampung Rawa ","JL. KAMPUNG RAWA SELATAN NO.5, KOTA JAKARTA PUSAT"
DKI JAKARTA,"Puskesmas","KEL. TANAH TINGGI","Jl. Tanah Tinggi IV Gg.7 , KOTA JAKARTA PUSAT"
DKI JAKARTA,"Puskesmas","Kec. Tebet","JL. TEBET TIMUR II, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Menteng Dalam I","JL. RASAMALA I, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","KEL. MENTENG DALAM II","JL.PUSKESMAS GG.IX, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","KEL. TEBET TIMUR","JL.TEBET TIMUR II 006/04, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Manggarai","JL.SWADAYA 1 NO. 1, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Kebon Baru","JL.ASEM BARIS GG.IX 009/05 KEB, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Bukit Duri","JL.BUKIT DURI TANJAKAN XV, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Manggarai Selatan","JL.RAMBUTAN NO.4 C, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Tebet Barat","JL.TEBET BARAT IX/64, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kec. Setiabudi","JL.HALIMUN NO.13, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Pasar Manggis","JL.MENTENG GRANIT 010/05, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Menteng Atas","JL. DR. SAHARJO GG. SUBUR (KOM, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Karet","JL.KOMANDO UJUNG 010/02, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Setiabudi","JL.SETIABUDI BARAT NO.8L, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kec. Mampang Prapatan","JL.LILIANA BLOK C 24-25 , KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Pela Mampang I","JL. PONDOK JAYA V, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Pela Mampang II","JL.BANGKA II GG.V, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Kuningan Barat","JL.PONCOL JAYA NO.40, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Tegal Parang","JL.MAMPANG PRAPATAN II , KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","KEL. BANGKA","JL.SD BANGKA 01, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Mampang Prapatan","JL.TEGAL PARANG UTARA I NO 30, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kec. Pasar Minggu","JL. KEBAGUSAN RAYA NO.4, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Pejaten Barat I","JL.PEJATEN RAYA NO.2 , KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Pejaten Barat II","JL.AYUB GG.F NO. 23, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Pejaten Barat III","JL.SIAGA RAYA KOMP.BAPENAS NO , KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Cilandak Timur","JL.MADRASAH NO.11 , KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Ragunan","JL.HARSONO RM , KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Kebagusan","JL.KEBAGUSAN RAYA GG.PUSKESMAS, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Pasar Minggu I","JL.B.II KOMP.AL RAWABAMBU, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Pejaten Timur","JL.SWADAYA I NO.28, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","KEL. PASAR MINGGU II","JL.RAYA RAGUNAN, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kec. Kebayoran Baru","JL.ISKANDARSYAH RAYA  NO 105, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Gunung","JL.BUMI NO.42, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Kramat Pela","JL.GANDARIA TENGAH V NO.2, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Senayan","JL.TULODONG BAWAH V 005/02, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Cipete Utara","JL. SARASWATI NO. 48, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Gandaria Utara I/PLT","JL.DELTA SARI F NO.6, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Gandaria Utara II/MHT","JL. HIDUP BARU RAYA NO. 4 RT. , KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Rawa Barat","JL.GUNAWARAAN NO.73, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Selong","JL.DAKSA IV NO.4, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Pulo","JLN BAYEM 1 NO 11 , KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Petogogan","JL.PULO RAYA VIII NO.3, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kec. Kebayoran Lama","JL.CIPUTAT RAYA , KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Kebayoran Lama Utara","JL.DELMAN UTAMA I NO.35 , KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Grogol Utara I","JL.TANAH BARU V RT., KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Grogol Utara II","JL. INPRES, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Cipulir I","JL CIPULIR 1, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Cipulir II","JL.KEBON MANGGA III, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Grogol Selatan","JL.KUBUR ISLAM NO 1, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Pondok Pinang","JL.CIPUTAT RAYA 001/08, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","KEL. KEBAYORAN LAMA SELATAN","JL.JATAYU II, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kec. Cilandak","JL. KOMPLEKS BNI 46 NO 57 , KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Pondok Labu I","JL. KELURAHAN LAMA NO 34, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Gandaria Selatan","JL. PONCOL NO.1, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Lebak Bulus","JL.PUSKESMAS NO. 18, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Cipete Selatan","JL. ANGGUR II NO.112, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Cilandak Barat","JL. SAKURA NO. 127, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kec. Jagakarsa","JL. Sirsak no.1 , KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Jagakarsa I","JL.JAGAKARSA I NO 15, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Jagakarsa II","JL.KEBAGUSAN WATES NO. 30 , KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Ciganjur","JL.MOH.KAHFI I, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Lenteng Agung I","JL.LONTAR 008/03, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Lenteng Agung II","GG.SUBUR 009/08, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","KEL. SRENGSENG SAWAH","JL.BATU, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kec. Pancoran","JL.POTLOT II NO 06, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Kalibata I","JL. KALIBATA TIMUR IV.E NO.1, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Kalibata II","JL SAMALI UJUNG NO 20 F , KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Cikoko","JL.CIKOKO 002/01, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Pengadegan","JL.PENGADEGAN TIMUR 010/02, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Rawajati I","JL. KOMPLEK ZENI AD V, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Rawajati II","JL.BINAWARGA NO.11, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Duren Tiga","JL.KH MAHMUD RAYA NO.16 , KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kec. Pesanggrahan","JL. PALEM 8, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","KEL. BINTARO","JL.MUFAKAT 001/03, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Petukangan Utara","JL.MESJID DAARUL FALLAH 004/03, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Petukangan Selatan","JL.KEMAJUAN RAYA, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Ulujami","JL.ULUJAMI RAYA NO.17, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kel. Pesanggrahan","JL.WIJAYA KUSUMA, KOTA JAKARTA SELATAN"
DKI JAKARTA,"Puskesmas","Kec. Matraman ","JL. PISANGAN BARU TIMUR NO.2A, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Kayu Manis ","JL. KAYU MANIS NO 27 B, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Utan Kayu Utara ","JL. PEGAYOMAN KOMP. KEHAKIMAN, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Utan Kayu Sel. I ","JL. SKIP UJUNG , KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Utan Kayu Sel. II ","JL. GALUR SARI TIMUR, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Pisangan Baru ","JL. SLAMET RIYADI II NO. 1, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Pal Meriem ","JL. PALMERIEM, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kec. Pulo Gadung ","JL. KAYU PUTIH SELATAN III, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Kayu Putih ","JL. FLAPON I KAMP. AMBON, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Jati  I ","JL. PULO ASEM IV, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Jati  II ","JL. KAPLONGAN I/267, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Rawamangun ","JL. TAMAN JERUK, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Pisangan Timur I ","JL. GADING RAYA I , KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Pisangan Timur II","JL. H. MUGENI III, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Cipinang ","JL. EL CIPINANG/MASJID BAITUSS, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Jatinegara Kaum ","JL. T BADARUDIN , KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kec. Jatinegara ","JL. MATRAMAN RAYA 220, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Kampung Melayu","JL. KEBON PALA 1/32, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Bali Mester ","JL. WEDANA DALAM, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Bidara Cina I ","JL. OTTO ISKANDAR DINATA 82 , KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Bidara Cina II ","JL. NILAM KP. DALAM, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Bidara Cina III ","JL. TANJUNG LENGKONG , KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Cipinang Cempedak","JL. CIPINANG CEMPEDAK IV, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Rawa Bunga ","JL. JATINEGARA TIMUR IV NO. 1, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Cipinang Muara","JL. BB I , KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Cipinang Besar Utara ","JL. CIPINANG PULO MAJA , KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Cipinang Besar Selatan I ","JL. CIPINANG JAYA GG , KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Cipinang Besar Selatan II","JL. PANCA WARGA IV, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kec. Duren Sawit ","JL. H. DOGOL NO. 15 A, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Pondok Bambu I","JL. KESEHATAN 5 , KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Pondok Bambu II ","JL.CIPINANG MUARA II, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Klender  I ","JL. PERTANIAN TIMUR , KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Klender  II ","JL. TAMAN BUARAN INDAH 1, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Klender  III ","JL. TAMAN BUARAN INDAH I, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Duren Sawit ","JL. KELURAHAN RAYA, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Malaka Jaya ","JL. TERATAI PUTIH  RAYA NO. 1, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Malaka Sari ","JL.MALAKA III, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Pondok Kopi  I ","JL. BINA KARYA, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Pondok Kopi  II","JL. ROBUSTA RAYA BLOK Q VIII , KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Pondok Kelapa ","JL. H. DOGON, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kec. Kramat Jati ","JL KERJA BAKTI NO 28  , KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Cawang ","Jl. Mesjid Bendungan Cawang II, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Cililitan ","JL. CILIWUNG BULUH , KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Kramat Jati I ","JALAN RS POLRI , KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","KEL. KRAMAT JATI II","JL. RS. DR. SUKANTO (POLRI), KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Batu Ampar ","Jl. Batu Ampar II Wadas , KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Bale Kambang ","JL. GARDU , KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Kampung Tengah","JL. MURAI, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Dukuh ","JL. PUSKESMAS, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kec. Makasar ","JL. PUSDIKLAT DEPNAKER NO. 4, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Cipinang Melayu ","JL. BUDI HARAPAN II NO.36, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Halim P.Kusuma I ","JL. PERMADI DIRGANTARA I, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Kebon Pala ","JL. CAKRAWALA , KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Halim P.Kusuma II","JL. SQUADRON , KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Makasar ","JL. MASJID AL MUNIR, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Pinang Ranti ","JL. PINANG RANTI, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kec. Pasar Rebo ","JL. LAPAN KALISARI NO 1 , KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Baru ","JL. PUSKESMAS, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Pekayon ","JL. BULAK SARI NO 3, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Gedong ","JL. RAYA CONDET , KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Cijantung ","JL. PERTENGAHAN, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Kalisari ","Jl. Puskesmas , KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kec. Ciracas ","JL. H. BAPING , KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Rambutan ","JL. H. JENIH NO 49, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Ciracas ","JALAN RAYA CENTEX GG PUSKESMAS, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Cibubur ","JL. MESJID FATHUL GOFUR , KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","KEL. SUSUKAN","JL. H. BAPING, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Kelapa Dua Wetan ","JL. RAYA KELAPA DUA WETAN, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kec. Cipayung ","JL. BAMBU HITAM NO. 104, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Lubang Buaya ","JL. SPG 7, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Bambu Apus  I ","JL. MINI III, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Bambu Apus II ","JL. SHINTA RAYA NO. 9, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Cipayung ","JL. BUDI MURNI, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Munjul ","JL. DALANG , KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Ceger ","JL. PUSKESMAS NO 6, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Setu ","JL. PUSKESMAS NO 16 , KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Cilangkap ","JL. SEPAKAT V, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Pondok Ranggon  I ","JL. KRAMAT GANCENG , KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kec. Cakung ","JL. RAYA BEKASI KM 18, , KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Rawa Teratai ","JL. RAYA BEKASI KM 21, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Jatinegara  ","JL. RAYA BEKASI KM 17, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Penggilingan I","PERUMAHAN ANEKA ELOK, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Penggilingan II","JL. KOMP. PIK BLOK D, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Cakung Timur ","JL. BALAI RAKYAT I, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Cakung Barat ","GG. IMPRES, JL. KAMPUNG BARU, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Ujung Menteng ","JL. RAYA BEKASI KM 26  , KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","Kel. Pulo Gebang ","JL. STASIUN CAKUNG KM 4, KOTA JAKARTA TIMUR"
DKI JAKARTA,"Puskesmas","KEC. CENGKARENG","JL. RAYA KAMAL NO.2, KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEL. CENGKARENG BARAT I","JL. FLAMBOYAN NO 74, KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEL. CENGKARENG BARAT II","JL. CENDERAWASIH IV, KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEL. CENGKARENG TIMUR","JL. NURUL AMAL RAYA, KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEL. KAPUK I","JL. KAPUK RAYA NO. 50, KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEL. KAPUK II","JL. KAPUK RAYA 004/005 NO 28, KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEL. KEDAUNG KALI ANGKE","KOMP. DEP. AGAMA / KALIMATI, KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEL. DURI KOSAMBI I","JL. RAYA DURI KOSAMBI 011/002, KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEL. DURI KOSAMBI II","JL. PUSKESMAS I , KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEL. RAWA BUAYA I","JL.BOJONG RAYA , KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEC. PAL MERAH","JL. PAL MERAH BARAT 120, KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEL. PAL MERAH I","JL. KEMANGGISAN PULO 012/003, KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEL. PAL MERAH II","JL. KOMPLEK SANDANG , KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEL. JATI PULO I","JL. WARU NO. 1A, KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEL. JATI PULO II","JL. SEMANGKA II 006/007, KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEL. KOTA BAMBU SELATAN","JL. K.S. TUBUN I / 27, KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEL. KOTA BAMBU UTARA","JL. PONDOK BANDUNG 005/005, KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEL. SLIPI I","JL. K.S. TUBUN II, KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEL. SLIPI II","K.S. TUBUN IV / 140, KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEL. KEMANGGISAN","JL. ANGGREK GARUDA BLOK D / IV, KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEC. TAMAN SARI","JL. BLUSTRU NO 1 , KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEL. MANGGA BESAR","JL. BLUSTRU NO. 116, KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEL. KEAGUNGAN","JL. KP JAWA KEBON SAYUR I NO.6, KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEL. KRUKUT","JL. KRUKUT LIO , KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEL. MAPHAR","JL. KEBON JERUK X NO 38, KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEL. TAMAN SARI","JL. MANGGA BESAR IV.P , KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEC. TAMBORA","JL. KRENDANG UTARA NO. 4, KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEL. PEKOJAN I","JL. BANDENGAN UTARA 005/002, KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEL. PEKOJAN II","JL. KAMPUNG JANIS NO. 5, KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEL. ROA MALAKA","JL.TIANG BENDERA 3 NO 52 07/03, KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEL. TAMBORA","JL. TAMBORA DALAM VI, KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEL. JEMBATAN BESI","JL. JEMBATAN BESI 2 NO 31, KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEL. ANGKE","JL. ANGKE INDAH NO. 7, KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEL. DURI UTARA","JL. DURI UTARA II NO. 23, KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEL. KALI ANYAR","JL. KALIANYAR 4 NO. 10, KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEC. KEBON JERUK","JL. RAYA KEBON JERUK NO. 2, KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEL. KEDOYA SELATAN","JL. RAYA KEDOYA RAYA NO. 47 , KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEL. KEDOYA UTARA","JL. DAAN MOGOT NO 19, KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEL. DURI KEPA","JL. ANGSANA RAYA NO. 1, KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEL. KEBON JERUK","JL. KARMEL RAYA 002/004, KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEL. SUKABUMI SELATAN","JL.RAYA SUKABUMI SELATAN , KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEL. SUKABUMI UTARA","JL HARUN RAYA, KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEL. KELAPA DUA","JL. KELAPA DUA RAYA NO. 2, KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEL. GROGOL I","JL. DR. NURDIN I / 35, KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEL. GROGOL II","JL. RAWA BAHAGIA I / 32, KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEL. GROGOL III","JL. DR SEMERU II, KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEL. JELAMBAR BARU","JL. JELAMBAR ILIR, KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEL. TANJUNG DUREN SLTN","JL.TANJUNG DUREN TIMUR IV NO 1, KOTA JAKARTA BARAT"
DKI JAKARTA,"Puskesmas","KEL. TANJUNG DUREN UTARA","JL. TANJUNG DUREN UTARA VII B, KOTA JAKARTA BARAT"
